condition,batch,trials,b_value
regular,0,150,0.02382839
regular,1,150,0.02315499
regular,2,150,0.02148856
regular,3,150,0.02073064
regular,4,150,0.02235133
regular,5,150,0.00051762
regular,6,150,0.01906889
regular,7,150,0.02159087
regular,8,150,0.02121810
regular,9,150,0.00000037
regular,10,150,0.02211570
regular,11,150,0.02219678
regular,12,150,0.01909891
regular,13,150,0.02181068
regular,14,150,0.00002793
regular,15,150,0.01918210
regular,16,150,-0.00000000
regular,17,150,0.01796825
regular,18,150,-0.00000000
regular,19,150,0.01936877
regular,20,150,0.00003448
regular,21,150,0.01493885
regular,22,150,0.02242003
regular,23,150,0.02006197
regular,24,150,0.01921732
regular,25,150,0.01912598
regular,26,150,0.02151531
regular,27,150,0.01807479
regular,28,150,0.01930075
regular,29,150,0.02241166
regular,30,150,0.01823505
regular,31,150,0.02343484
regular,32,150,-0.00000000
regular,33,150,0.02119858
regular,34,150,0.02132525
regular,35,150,0.01775441
regular,36,150,0.02142674
regular,37,150,0.01838969
regular,38,150,0.00000082
regular,39,150,0.01949585
regular,40,150,0.01823429
regular,41,150,0.02132888
regular,42,150,0.01995027
regular,43,150,0.01692726
regular,44,150,0.02136222
regular,45,150,0.02186016
regular,46,150,0.01525382
regular,47,150,0.02209898
regular,48,150,-0.00000000
regular,49,150,0.00027847
punishment_1.0,0,150,0.00448501
punishment_1.0,1,150,0.00584376
punishment_1.0,2,150,0.00528576
punishment_1.0,3,150,0.00461717
punishment_1.0,4,150,0.00530876
punishment_1.0,5,150,0.00524771
punishment_1.0,6,150,0.00337880
punishment_1.0,7,150,0.00477605
punishment_1.0,8,150,0.00355207
punishment_1.0,9,150,0.00602062
punishment_1.0,10,150,0.00379892
punishment_1.0,11,150,0.00640344
punishment_1.0,12,150,0.00316971
punishment_1.0,13,150,0.00838054
punishment_1.0,14,150,0.00294977
punishment_1.0,15,150,0.00487287
punishment_1.0,16,150,0.00706947
punishment_1.0,17,150,0.00428123
punishment_1.0,18,150,0.00415882
punishment_1.0,19,150,0.00505341
punishment_1.0,20,150,0.00672544
punishment_1.0,21,150,0.00357198
punishment_1.0,22,150,0.01207558
punishment_1.0,23,150,0.00693764
punishment_1.0,24,150,0.00648334
punishment_1.0,25,150,0.00373956
punishment_1.0,26,150,0.00663423
punishment_1.0,27,150,0.00514281
punishment_1.0,28,150,0.00477242
punishment_1.0,29,150,0.00688617
punishment_1.0,30,150,0.00633040
punishment_1.0,31,150,0.00380784
punishment_1.0,32,150,0.00485728
punishment_1.0,33,150,0.00545669
punishment_1.0,34,150,0.00494566
punishment_1.0,35,150,0.00598232
punishment_1.0,36,150,0.00562878
punishment_1.0,37,150,0.00619564
punishment_1.0,38,150,0.00519105
punishment_1.0,39,150,0.01008051
punishment_1.0,40,150,0.00235304
punishment_1.0,41,150,0.00738784
punishment_1.0,42,150,0.00315110
punishment_1.0,43,150,0.00642073
punishment_1.0,44,150,0.00768610
punishment_1.0,45,150,0.00456369
punishment_1.0,46,150,0.00870261
punishment_1.0,47,150,0.01126425
punishment_1.0,48,150,0.00338157
punishment_1.0,49,150,0.00614064
punishment_0.5,0,150,0.01535922
punishment_0.5,1,150,0.00705030
punishment_0.5,2,150,0.01061240
punishment_0.5,3,150,0.01103159
punishment_0.5,4,150,0.01046529
punishment_0.5,5,150,0.01224907
punishment_0.5,6,150,0.01397132
punishment_0.5,7,150,0.01159363
punishment_0.5,8,150,0.01210199
punishment_0.5,9,150,0.00804747
punishment_0.5,10,150,0.00727848
punishment_0.5,11,150,0.00429131
punishment_0.5,12,150,0.01455013
punishment_0.5,13,150,0.01019413
punishment_0.5,14,150,0.01127920
punishment_0.5,15,150,0.00722571
punishment_0.5,16,150,0.00789903
punishment_0.5,17,150,0.00839443
punishment_0.5,18,150,0.01059759
punishment_0.5,19,150,0.00808393
punishment_0.5,20,150,0.02144000
punishment_0.5,21,150,0.01339132
punishment_0.5,22,150,0.00963784
punishment_0.5,23,150,0.00774221
punishment_0.5,24,150,0.01480671
punishment_0.5,25,150,0.00895454
punishment_0.5,26,150,0.00773709
punishment_0.5,27,150,0.01050979
punishment_0.5,28,150,0.01273791
punishment_0.5,29,150,0.00779880
punishment_0.5,30,150,0.00951176
punishment_0.5,31,150,0.00865595
punishment_0.5,32,150,0.01310587
punishment_0.5,33,150,0.01405212
punishment_0.5,34,150,0.01183281
punishment_0.5,35,150,0.00811701
punishment_0.5,36,150,0.01341333
punishment_0.5,37,150,0.00583827
punishment_0.5,38,150,0.01495928
punishment_0.5,39,150,0.00911987
punishment_0.5,40,150,0.00648069
punishment_0.5,41,150,0.01275426
punishment_0.5,42,150,0.00785032
punishment_0.5,43,150,0.02019786
punishment_0.5,44,150,0.01418858
punishment_0.5,45,150,0.01415576
punishment_0.5,46,150,0.00950974
punishment_0.5,47,150,0.00959677
punishment_0.5,48,150,0.01135601
punishment_0.5,49,150,0.01696564
punishment_0.25,0,150,0.01563382
punishment_0.25,1,150,0.01799469
punishment_0.25,2,150,0.01320480
punishment_0.25,3,150,0.01691225
punishment_0.25,4,150,0.01607783
punishment_0.25,5,150,0.01607745
punishment_0.25,6,150,0.00842106
punishment_0.25,7,150,0.01544949
punishment_0.25,8,150,0.01522506
punishment_0.25,9,150,0.01280935
punishment_0.25,10,150,0.01614069
punishment_0.25,11,150,0.02044414
punishment_0.25,12,150,0.01159291
punishment_0.25,13,150,0.00430853
punishment_0.25,14,150,0.01040430
punishment_0.25,15,150,0.01710600
punishment_0.25,16,150,0.01290888
punishment_0.25,17,150,0.02136003
punishment_0.25,18,150,0.00919228
punishment_0.25,19,150,0.01614554
punishment_0.25,20,150,0.02265385
punishment_0.25,21,150,0.01897223
punishment_0.25,22,150,0.02050339
punishment_0.25,23,150,0.01796934
punishment_0.25,24,150,0.01385409
punishment_0.25,25,150,0.00914141
punishment_0.25,26,150,0.01872691
punishment_0.25,27,150,0.01197303
punishment_0.25,28,150,0.01478634
punishment_0.25,29,150,0.01617737
punishment_0.25,30,150,0.01726761
punishment_0.25,31,150,0.01169276
punishment_0.25,32,150,0.01299319
punishment_0.25,33,150,0.01336450
punishment_0.25,34,150,0.02280475
punishment_0.25,35,150,0.01787627
punishment_0.25,36,150,0.01817116
punishment_0.25,37,150,0.01860629
punishment_0.25,38,150,0.01598943
punishment_0.25,39,150,0.00875965
punishment_0.25,40,150,0.01289752
punishment_0.25,41,150,0.01193448
punishment_0.25,42,150,0.01596718
punishment_0.25,43,150,0.01516507
punishment_0.25,44,150,0.01254642
punishment_0.25,45,150,0.01344415
punishment_0.25,46,150,0.01288709
punishment_0.25,47,150,0.01542051
punishment_0.25,48,150,0.02252353
punishment_0.25,49,150,0.01712803
