condition,batch,trial,steps
regular,0,1,51
regular,0,2,150
regular,0,3,126
regular,0,4,150
regular,0,5,114
regular,0,6,61
regular,0,7,45
regular,0,8,104
regular,0,9,29
regular,0,10,58
regular,0,11,31
regular,0,12,10
regular,0,13,69
regular,0,14,22
regular,0,15,25
regular,0,16,38
regular,0,17,67
regular,0,18,30
regular,0,19,41
regular,0,20,73
regular,0,21,30
regular,0,22,17
regular,0,23,19
regular,0,24,20
regular,0,25,33
regular,0,26,40
regular,0,27,34
regular,0,28,35
regular,0,29,20
regular,0,30,13
regular,0,31,41
regular,0,32,20
regular,0,33,9
regular,0,34,14
regular,0,35,67
regular,0,36,39
regular,0,37,15
regular,0,38,21
regular,0,39,8
regular,0,40,21
regular,0,41,11
regular,0,42,31
regular,0,43,33
regular,0,44,23
regular,0,45,10
regular,0,46,16
regular,0,47,41
regular,0,48,12
regular,0,49,25
regular,0,50,8
regular,0,51,19
regular,0,52,19
regular,0,53,14
regular,0,54,23
regular,0,55,9
regular,0,56,21
regular,0,57,9
regular,0,58,16
regular,0,59,14
regular,0,60,16
regular,0,61,12
regular,0,62,23
regular,0,63,17
regular,0,64,13
regular,0,65,15
regular,0,66,21
regular,0,67,11
regular,0,68,19
regular,0,69,9
regular,0,70,13
regular,0,71,14
regular,0,72,16
regular,0,73,8
regular,0,74,18
regular,0,75,15
regular,0,76,9
regular,0,77,21
regular,0,78,10
regular,0,79,28
regular,0,80,9
regular,0,81,17
regular,0,82,9
regular,0,83,17
regular,0,84,23
regular,0,85,7
regular,0,86,13
regular,0,87,15
regular,0,88,7
regular,0,89,24
regular,0,90,14
regular,0,91,12
regular,0,92,16
regular,0,93,35
regular,0,94,30
regular,0,95,7
regular,0,96,12
regular,0,97,11
regular,0,98,11
regular,0,99,13
regular,0,100,8
regular,0,101,14
regular,0,102,7
regular,0,103,17
regular,0,104,14
regular,0,105,7
regular,0,106,10
regular,0,107,9
regular,0,108,9
regular,0,109,25
regular,0,110,21
regular,0,111,14
regular,0,112,13
regular,0,113,26
regular,0,114,15
regular,0,115,12
regular,0,116,10
regular,0,117,11
regular,0,118,13
regular,0,119,19
regular,0,120,13
regular,0,121,20
regular,0,122,7
regular,0,123,10
regular,0,124,9
regular,0,125,9
regular,0,126,9
regular,0,127,9
regular,0,128,9
regular,0,129,10
regular,0,130,18
regular,0,131,19
regular,0,132,12
regular,0,133,7
regular,0,134,10
regular,0,135,10
regular,0,136,18
regular,0,137,18
regular,0,138,8
regular,0,139,17
regular,0,140,14
regular,0,141,12
regular,0,142,7
regular,0,143,13
regular,0,144,27
regular,0,145,8
regular,0,146,8
regular,0,147,20
regular,0,148,11
regular,0,149,17
regular,0,150,12
regular,1,1,16
regular,1,2,25
regular,1,3,34
regular,1,4,103
regular,1,5,14
regular,1,6,38
regular,1,7,23
regular,1,8,51
regular,1,9,12
regular,1,10,20
regular,1,11,15
regular,1,12,68
regular,1,13,25
regular,1,14,36
regular,1,15,12
regular,1,16,23
regular,1,17,21
regular,1,18,38
regular,1,19,47
regular,1,20,53
regular,1,21,26
regular,1,22,20
regular,1,23,23
regular,1,24,48
regular,1,25,45
regular,1,26,16
regular,1,27,23
regular,1,28,12
regular,1,29,49
regular,1,30,11
regular,1,31,30
regular,1,32,23
regular,1,33,22
regular,1,34,16
regular,1,35,15
regular,1,36,17
regular,1,37,16
regular,1,38,25
regular,1,39,17
regular,1,40,31
regular,1,41,13
regular,1,42,20
regular,1,43,13
regular,1,44,19
regular,1,45,31
regular,1,46,17
regular,1,47,16
regular,1,48,15
regular,1,49,10
regular,1,50,13
regular,1,51,25
regular,1,52,28
regular,1,53,19
regular,1,54,16
regular,1,55,10
regular,1,56,16
regular,1,57,19
regular,1,58,12
regular,1,59,24
regular,1,60,21
regular,1,61,11
regular,1,62,18
regular,1,63,28
regular,1,64,7
regular,1,65,7
regular,1,66,21
regular,1,67,16
regular,1,68,17
regular,1,69,23
regular,1,70,9
regular,1,71,15
regular,1,72,16
regular,1,73,10
regular,1,74,22
regular,1,75,13
regular,1,76,14
regular,1,77,8
regular,1,78,18
regular,1,79,20
regular,1,80,16
regular,1,81,15
regular,1,82,23
regular,1,83,18
regular,1,84,18
regular,1,85,20
regular,1,86,11
regular,1,87,13
regular,1,88,18
regular,1,89,13
regular,1,90,14
regular,1,91,12
regular,1,92,24
regular,1,93,10
regular,1,94,9
regular,1,95,32
regular,1,96,12
regular,1,97,8
regular,1,98,22
regular,1,99,20
regular,1,100,11
regular,1,101,11
regular,1,102,15
regular,1,103,10
regular,1,104,14
regular,1,105,18
regular,1,106,9
regular,1,107,19
regular,1,108,17
regular,1,109,21
regular,1,110,13
regular,1,111,10
regular,1,112,8
regular,1,113,12
regular,1,114,17
regular,1,115,17
regular,1,116,17
regular,1,117,9
regular,1,118,9
regular,1,119,12
regular,1,120,15
regular,1,121,19
regular,1,122,16
regular,1,123,23
regular,1,124,19
regular,1,125,9
regular,1,126,23
regular,1,127,11
regular,1,128,14
regular,1,129,9
regular,1,130,16
regular,1,131,13
regular,1,132,10
regular,1,133,11
regular,1,134,15
regular,1,135,13
regular,1,136,12
regular,1,137,8
regular,1,138,13
regular,1,139,17
regular,1,140,19
regular,1,141,9
regular,1,142,14
regular,1,143,10
regular,1,144,9
regular,1,145,13
regular,1,146,11
regular,1,147,12
regular,1,148,16
regular,1,149,17
regular,1,150,33
regular,2,1,66
regular,2,2,150
regular,2,3,150
regular,2,4,150
regular,2,5,150
regular,2,6,150
regular,2,7,150
regular,2,8,150
regular,2,9,150
regular,2,10,150
regular,2,11,134
regular,2,12,75
regular,2,13,51
regular,2,14,74
regular,2,15,128
regular,2,16,63
regular,2,17,64
regular,2,18,12
regular,2,19,119
regular,2,20,88
regular,2,21,28
regular,2,22,50
regular,2,23,52
regular,2,24,36
regular,2,25,26
regular,2,26,54
regular,2,27,81
regular,2,28,30
regular,2,29,23
regular,2,30,41
regular,2,31,55
regular,2,32,11
regular,2,33,18
regular,2,34,23
regular,2,35,46
regular,2,36,14
regular,2,37,17
regular,2,38,31
regular,2,39,14
regular,2,40,24
regular,2,41,22
regular,2,42,21
regular,2,43,12
regular,2,44,12
regular,2,45,31
regular,2,46,35
regular,2,47,24
regular,2,48,45
regular,2,49,12
regular,2,50,34
regular,2,51,15
regular,2,52,32
regular,2,53,18
regular,2,54,31
regular,2,55,39
regular,2,56,18
regular,2,57,23
regular,2,58,26
regular,2,59,22
regular,2,60,10
regular,2,61,49
regular,2,62,10
regular,2,63,12
regular,2,64,31
regular,2,65,30
regular,2,66,17
regular,2,67,24
regular,2,68,14
regular,2,69,24
regular,2,70,21
regular,2,71,32
regular,2,72,12
regular,2,73,11
regular,2,74,22
regular,2,75,40
regular,2,76,20
regular,2,77,8
regular,2,78,24
regular,2,79,23
regular,2,80,10
regular,2,81,13
regular,2,82,20
regular,2,83,13
regular,2,84,15
regular,2,85,29
regular,2,86,21
regular,2,87,14
regular,2,88,29
regular,2,89,8
regular,2,90,12
regular,2,91,18
regular,2,92,24
regular,2,93,20
regular,2,94,16
regular,2,95,16
regular,2,96,21
regular,2,97,7
regular,2,98,12
regular,2,99,8
regular,2,100,26
regular,2,101,14
regular,2,102,14
regular,2,103,16
regular,2,104,12
regular,2,105,12
regular,2,106,34
regular,2,107,18
regular,2,108,11
regular,2,109,17
regular,2,110,14
regular,2,111,14
regular,2,112,18
regular,2,113,25
regular,2,114,29
regular,2,115,15
regular,2,116,14
regular,2,117,11
regular,2,118,10
regular,2,119,27
regular,2,120,11
regular,2,121,21
regular,2,122,30
regular,2,123,9
regular,2,124,13
regular,2,125,16
regular,2,126,9
regular,2,127,32
regular,2,128,15
regular,2,129,11
regular,2,130,30
regular,2,131,13
regular,2,132,9
regular,2,133,10
regular,2,134,10
regular,2,135,9
regular,2,136,15
regular,2,137,17
regular,2,138,13
regular,2,139,17
regular,2,140,15
regular,2,141,14
regular,2,142,15
regular,2,143,24
regular,2,144,31
regular,2,145,11
regular,2,146,15
regular,2,147,25
regular,2,148,15
regular,2,149,11
regular,2,150,11
regular,3,1,150
regular,3,2,150
regular,3,3,150
regular,3,4,150
regular,3,5,150
regular,3,6,150
regular,3,7,31
regular,3,8,150
regular,3,9,90
regular,3,10,150
regular,3,11,150
regular,3,12,26
regular,3,13,150
regular,3,14,150
regular,3,15,136
regular,3,16,116
regular,3,17,150
regular,3,18,25
regular,3,19,150
regular,3,20,28
regular,3,21,150
regular,3,22,150
regular,3,23,121
regular,3,24,150
regular,3,25,41
regular,3,26,150
regular,3,27,71
regular,3,28,150
regular,3,29,56
regular,3,30,34
regular,3,31,150
regular,3,32,146
regular,3,33,150
regular,3,34,100
regular,3,35,21
regular,3,36,22
regular,3,37,54
regular,3,38,64
regular,3,39,71
regular,3,40,27
regular,3,41,24
regular,3,42,26
regular,3,43,76
regular,3,44,34
regular,3,45,68
regular,3,46,19
regular,3,47,27
regular,3,48,28
regular,3,49,10
regular,3,50,40
regular,3,51,32
regular,3,52,61
regular,3,53,10
regular,3,54,11
regular,3,55,23
regular,3,56,15
regular,3,57,42
regular,3,58,25
regular,3,59,19
regular,3,60,23
regular,3,61,19
regular,3,62,19
regular,3,63,31
regular,3,64,23
regular,3,65,29
regular,3,66,21
regular,3,67,30
regular,3,68,14
regular,3,69,31
regular,3,70,18
regular,3,71,13
regular,3,72,37
regular,3,73,23
regular,3,74,21
regular,3,75,23
regular,3,76,28
regular,3,77,41
regular,3,78,20
regular,3,79,23
regular,3,80,15
regular,3,81,29
regular,3,82,18
regular,3,83,23
regular,3,84,10
regular,3,85,8
regular,3,86,16
regular,3,87,32
regular,3,88,24
regular,3,89,10
regular,3,90,27
regular,3,91,10
regular,3,92,13
regular,3,93,19
regular,3,94,31
regular,3,95,15
regular,3,96,20
regular,3,97,16
regular,3,98,15
regular,3,99,25
regular,3,100,21
regular,3,101,14
regular,3,102,7
regular,3,103,19
regular,3,104,8
regular,3,105,24
regular,3,106,21
regular,3,107,16
regular,3,108,16
regular,3,109,11
regular,3,110,17
regular,3,111,9
regular,3,112,10
regular,3,113,27
regular,3,114,11
regular,3,115,24
regular,3,116,23
regular,3,117,17
regular,3,118,9
regular,3,119,17
regular,3,120,9
regular,3,121,25
regular,3,122,12
regular,3,123,17
regular,3,124,21
regular,3,125,15
regular,3,126,9
regular,3,127,8
regular,3,128,18
regular,3,129,19
regular,3,130,15
regular,3,131,7
regular,3,132,20
regular,3,133,19
regular,3,134,15
regular,3,135,20
regular,3,136,21
regular,3,137,7
regular,3,138,20
regular,3,139,18
regular,3,140,11
regular,3,141,13
regular,3,142,18
regular,3,143,17
regular,3,144,13
regular,3,145,11
regular,3,146,9
regular,3,147,14
regular,3,148,11
regular,3,149,24
regular,3,150,14
regular,4,1,150
regular,4,2,24
regular,4,3,150
regular,4,4,150
regular,4,5,120
regular,4,6,35
regular,4,7,150
regular,4,8,46
regular,4,9,150
regular,4,10,33
regular,4,11,38
regular,4,12,84
regular,4,13,144
regular,4,14,97
regular,4,15,17
regular,4,16,150
regular,4,17,12
regular,4,18,79
regular,4,19,94
regular,4,20,39
regular,4,21,32
regular,4,22,77
regular,4,23,32
regular,4,24,46
regular,4,25,73
regular,4,26,21
regular,4,27,38
regular,4,28,46
regular,4,29,23
regular,4,30,54
regular,4,31,17
regular,4,32,24
regular,4,33,62
regular,4,34,28
regular,4,35,42
regular,4,36,29
regular,4,37,9
regular,4,38,18
regular,4,39,25
regular,4,40,10
regular,4,41,14
regular,4,42,46
regular,4,43,11
regular,4,44,23
regular,4,45,7
regular,4,46,17
regular,4,47,11
regular,4,48,16
regular,4,49,23
regular,4,50,15
regular,4,51,21
regular,4,52,17
regular,4,53,52
regular,4,54,40
regular,4,55,20
regular,4,56,25
regular,4,57,14
regular,4,58,14
regular,4,59,19
regular,4,60,10
regular,4,61,13
regular,4,62,54
regular,4,63,31
regular,4,64,10
regular,4,65,24
