200, Successful Press: False
200, Successful Press: False
200, Successful Press: False
92, Successful Press: True
200, Successful Press: False
91, Successful Press: True
191, Successful Press: True
Trial: 7, Steps Taken: 52, Successful Press: True
Trial: 8, Steps Taken: 200, Successful Press: False
Trial: 9, Steps Taken: 200, Successful Press: False
Trial: 10, Steps Taken: 200, Successful Press: False
Trial: 11, Steps Taken: 200, Successful Press: False
Trial: 12, Steps Taken: 200, Successful Press: False
Trial: 13, Steps Taken: 181, Successful Press: True
Trial: 14, Steps Taken: 200, Successful Press: False
Trial: 15, Steps Taken: 48, Successful Press: True
Trial: 16, Steps Taken: 85, Successful Press: True
Trial: 17, Steps Taken: 200, Successful Press: False
Trial: 18, Steps Taken: 200, Successful Press: False
Trial: 19, Steps Taken: 200, Successful Press: False
Trial: 20, Steps Taken: 110, Successful Press: True
Trial: 21, Steps Taken: 200, Successful Press: False
Trial: 22, Steps Taken: 198, Successful Press: True
Trial: 23, Steps Taken: 111, Successful Press: True
Trial: 24, Steps Taken: 173, Successful Press: True
Trial: 25, Steps Taken: 87, Successful Press: True
Trial: 26, Steps Taken: 118, Successful Press: True
Trial: 27, Steps Taken: 64, Successful Press: True
Trial: 28, Steps Taken: 126, Successful Press: True
Trial: 29, Steps Taken: 200, Successful Press: False
Trial: 30, Steps Taken: 75, Successful Press: True
Trial: 31, Steps Taken: 200, Successful Press: False
Trial: 32, Steps Taken: 200, Successful Press: False
Trial: 33, Steps Taken: 198, Successful Press: True
Trial: 34, Steps Taken: 65, Successful Press: True
Trial: 35, Steps Taken: 200, Successful Press: False
Trial: 36, Steps Taken: 200, Successful Press: False
Trial: 37, Steps Taken: 140, Successful Press: True
Trial: 38, Steps Taken: 200, Successful Press: False
Trial: 39, Steps Taken: 200, Successful Press: False
Trial: 40, Steps Taken: 200, Successful Press: False
Trial: 41, Steps Taken: 85, Successful Press: True
Trial: 42, Steps Taken: 200, Successful Press: False
Trial: 43, Steps Taken: 60, Successful Press: True
Trial: 44, Steps Taken: 193, Successful Press: True
Trial: 45, Steps Taken: 109, Successful Press: True
Trial: 46, Steps Taken: 141, Successful Press: True
Trial: 47, Steps Taken: 101, Successful Press: True
Trial: 48, Steps Taken: 76, Successful Press: True
Trial: 49, Steps Taken: 74, Successful Press: True
Trial: 50, Steps Taken: 200, Successful Press: False
Trial: 51, Steps Taken: 21, Successful Press: True
Trial: 52, Steps Taken: 88, Successful Press: True
Trial: 53, Steps Taken: 200, Successful Press: True
Trial: 54, Steps Taken: 182, Successful Press: True
Trial: 55, Steps Taken: 200, Successful Press: False
Trial: 56, Steps Taken: 200, Successful Press: False
Trial: 57, Steps Taken: 137, Successful Press: True
Trial: 58, Steps Taken: 157, Successful Press: True
Trial: 59, Steps Taken: 85, Successful Press: True
